Rank Current,State,Abbr. State Name,"Census population Estimate, July 1, 2019","Percent of the total U.S. population, 2018"
1,California,CA,39512223,11.96%
2,Texas,TX,28995881,8.68%
3,Florida,FL,21477737,6.44%
4,New York,NY,19453561,5.91%
5,Pennsylvania,PA,12801989,3.87%
6,Illinois,IL,12671821,3.85%
7,Ohio,OH,11689100,3.53%
8,Georgia,GA,10617423,3.18%
9,North Carolina,NC,10488084,3.14%
10,Michigan,MI,9986857,3.02%
11,New Jersey,NJ,8882190,2.69%
12,Virginia,VA,8535519,2.58%
13,Washington,WA,7614893,2.28%
14,Arizona,AZ,7278717,2.17%
15,Massachusetts,MA,6949503,2.09%
16,Tennessee,TN,6833174,2.05%
17,Indiana,IN,6732219,2.02%
18,Missouri,MO,6137428,1.85%
19,Maryland,MD,6045680,1.83%
20,Wisconsin,WI,5822434,1.76%
21,Colorado,CO,5758736,1.72%
22,Minnesota,MN,5639632,1.70%
23,South Carolina,SC,5148714,1.54%
24,Alabama,AL,4903185,1.48%
25,Louisiana,LA,4648794,1.41%
26,Kentucky,KY,4467673,1.35%
27,Oregon,OR,4217737,1.27%
28,Oklahoma,OK,3956971,1.19%
29,Connecticut,CT,3565287,1.08%
30,Utah,UT,3205958,0.96%
31,Puerto Rico,PR,3193694,0.97%
32,Iowa,IA,3155070,0.95%
33,Nevada,NV,3080156,0.92%
34,Arkansas,AR,3017825,0.91%
35,Mississippi,MS,2976149,0.90%
36,Kansas,KS,2913314,0.88%
37,New Mexico,NM,2096829,0.63%
38,Nebraska,NE,1934408,0.58%
39,West Virginia,WV,1792065,0.55%
40,Idaho,ID,1787147,0.53%
41,Hawaii,HI,1415872,0.43%
42,New Hampshire,NH,1359711,0.41%
43,Maine,ME,1344212,0.40%
44,Montana,MT,1068778,0.32%
45,Rhode Island,RI,1059361,0.32%
46,Delaware,DE,973764,0.29%
47,South Dakota,SD,884659,0.27%
48,North Dakota,ND,762062,0.23%
49,Alaska,AK,731545,0.22%
50,District of Columbia,DC,705749,0.21%
51,Vermont,VT,623989,0.19%
52,Wyoming,WY,578759,0.17%
53,Guam,GU,165718,0.05%
54,U.S. Virgin Islands,VI,104914,0.03%
55,American Samoa,AS,55641,0.02%
56,Northern Mariana Islands,MP,55194,0.02%
